champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,winrate,cc_score
432,Bard,2.0,2,23,20,57,36262,25169,11093,4,1,0,0,0,5738,100.0,11
67,Vayne,2.0,2,24,13,49,28309,20505,7804,5,0,0,0,0,7367,100.0,0
498,Xayah,2.0,2,27,11,40,25802,18745,7057,3,1,1,0,0,5055,100.0,0
202,Jhin,1.0,1,16,3,19,33766,12232,21534,2,1,0,0,0,3568,100.0,39
18,Tristana,1.0,1,18,9,22,48151,30963,17188,3,1,0,0,0,8565,100.0,0
1,Annie,1.0,1,16,13,19,41587,26046,15541,3,1,0,0,0,1154,100.0,34
235,Senna,1.0,1,16,3,26,34153,21757,12396,1,0,0,0,0,14218,100.0,0
145,Kaisa,1.0,1,2,15,40,44609,34785,9824,1,0,0,0,0,1201,100.0,22
22,Ashe,1.0,1,10,6,24,28867,19194,9673,0,0,0,0,0,229,100.0,89
203,Kindred,1.0,1,30,11,15,43589,34687,8902,8,2,1,0,0,18563,100.0,0
111,Nautilus,1.0,1,20,15,10,40871,33082,7789,6,1,0,0,0,4470,100.0,4
13,Ryze,1.0,1,20,10,14,31960,26693,5267,4,2,0,0,0,4998,100.0,14
254,Vi,1.0,1,8,8,9,14522,12657,1865,1,0,0,0,0,1189,100.0,23
131,Diana,1.0,1,16,11,11,27354,26926,428,4,0,0,0,0,3361,100.0,10
11,MasterYi,1.0,1,11,5,18,17760,18263,-503,1,1,0,0,0,5834,100.0,0
246,Qiyana,1.0,1,11,10,13,17881,18900,-1019,2,0,0,0,0,846,100.0,0
79,Gragas,1.0,1,8,16,29,32460,36670,-4210,1,0,0,0,0,5016,100.0,44
122,Darius,1.0,1,7,14,27,24703,30638,-5935,1,0,0,0,0,666,100.0,78
147,Seraphine,1.0,1,3,9,37,11358,19543,-8185,0,0,0,0,0,8251,100.0,32
517,Sylas,1.0,1,7,8,19,12960,24854,-11894,0,0,0,0,0,5205,100.0,24
41,Gangplank,1.0,1,3,14,12,16763,40741,-23978,1,0,0,0,0,8350,100.0,6
157,Yasuo,4.0,3,54,43,77,33322,25164,8157,8,0,0,0,0,3996,75.0,11
236,Lucian,4.0,3,70,39,79,34353,37206,-2853,8,4,1,0,0,9667,75.0,11
103,Ahri,3.0,2,17,19,50,14142,17209,-3067,4,0,0,0,0,3441,66.67,3
51,Caitlyn,4.0,2,53,27,133,30794,27189,3604,7,1,0,0,0,5791,50.0,24
21,MissFortune,2.0,1,35,18,51,31414,23015,8399,7,3,1,0,0,3741,50.0,15
107,Rengar,2.0,1,22,20,23,17687,18087,-399,4,0,0,0,0,2837,50.0,3
412,Thresh,2.0,1,7,14,44,11142,15584,-4442,0,0,0,0,0,7403,50.0,38
4,TwistedFate,2.0,1,25,29,48,25662,34930,-9268,4,0,0,0,0,3679,50.0,26
12,Alistar,2.0,1,23,34,57,41272,55143,-13871,2,0,0,0,0,9224,50.0,20
29,Twitch,4.0,1,50,30,85,29701,26658,3043,7,2,1,0,0,5134,25.0,14
50,Swain,3.0,0,37,37,59,39599,38724,875,8,2,0,0,0,7714,0.0,21
55,Katarina,2.0,0,21,20,29,30667,24788,5879,5,0,0,0,0,2211,0.0,0
121,Khazix,2.0,0,25,15,24,25804,20958,4845,6,0,0,0,0,5203,0.0,0
42,Corki,2.0,0,15,20,56,25103,28410,-3307,3,1,0,0,0,4458,0.0,17
64,LeeSin,2.0,0,20,20,40,20141,26649,-6507,4,1,1,1,0,7099,0.0,11
234,Viego,2.0,0,20,24,20,20197,31086,-10888,3,1,0,0,0,5059,0.0,17
37,Sona,2.0,0,33,26,45,25047,39747,-14700,8,2,1,0,0,3325,0.0,20
777,Yone,1.0,0,11,9,27,36489,23808,12681,1,0,0,0,0,6552,0.0,4
119,Draven,1.0,0,11,8,15,21799,19006,2793,3,1,0,0,0,1866,0.0,2
81,Ezreal,1.0,0,10,11,23,22284,20640,1644,2,1,0,0,0,2108,0.0,0
141,Kayn,1.0,0,12,17,14,30905,33556,-2651,2,1,1,0,0,6991,0.0,10
60,Elise,1.0,0,20,19,24,44383,48299,-3916,5,0,0,0,0,2870,0.0,55
32,Amumu,1.0,0,11,14,19,26396,32915,-6519,2,2,0,0,0,2716,0.0,0
120,Hecarim,1.0,0,3,9,19,19195,27045,-7850,0,0,0,0,0,7765,0.0,0
43,Karma,1.0,0,11,10,24,16365,25760,-9395,2,0,0,0,0,7656,0.0,11
59,JarvanIV,1.0,0,10,12,32,28570,38834,-10264,1,1,0,0,0,7646,0.0,54
150,Gnar,1.0,0,15,12,28,30669,60070,-29401,2,0,0,0,0,8197,0.0,124
136,AurelionSol,1.0,0,11,18,29,43474,102562,-59088,1,0,0,0,0,7941,0.0,42
