summoner_name,played_with,won_with,played_against,lost_against,date,last_played
Jeeveezee,5.0,3,4,1,4-8-2022 19:48,Akali
BluezamX,5.0,3,4,1,4-8-2022 19:48,Blitzcrank
yvan i am,3.0,2,2,0,4-8-2022 19:48,JarvanIV
JigSaw18,2.0,2,1,0,4-8-2022 19:48,Viego
xTeux,1.0,1,0,0,4-8-2022 19:47,Yone
siriste,1.0,1,0,0,4-8-2022 19:48,Seraphine
shadon7,1.0,1,0,0,4-8-2022 19:47,Quinn
mental kingdοm,1.0,1,0,0,4-8-2022 19:48,Draven
algunaideamas,1.0,1,0,0,4-8-2022 19:48,Lucian
Vrep,1.0,1,0,0,4-8-2022 19:48,Ahri
SuperElectra,1.0,1,0,0,4-8-2022 19:48,Khazix
Spaukii,1.0,1,0,0,4-8-2022 19:48,Akali
Shankopps,1.0,1,0,0,4-8-2022 19:48,Sett
Plipper,1.0,1,0,0,4-8-2022 19:48,Blitzcrank
Old Miku,1.0,1,0,0,4-8-2022 19:48,Nocturne
Mosuta,1.0,1,0,0,4-8-2022 19:48,MissFortune
Monks138,1.0,1,0,0,4-8-2022 19:48,Pantheon
Magno27,1.0,1,0,0,4-8-2022 19:48,Lillia
Leavd,1.0,1,0,0,4-8-2022 19:48,MonkeyKing
Kneus,1.0,1,0,0,4-8-2022 19:48,Warwick
Henta1Senpai69,1.0,1,0,0,4-8-2022 19:48,Blitzcrank
Enibii,1.0,1,0,0,4-8-2022 19:48,Darius
BaitFaké,1.0,1,0,0,4-8-2022 19:48,Shyvana
BIBIKOSHERNOSTRA,1.0,1,0,0,4-8-2022 19:47,Zac
nennas1,1.0,0,0,0,4-8-2022 19:48,Veigar
iRΛGNΛR,1.0,0,0,0,4-8-2022 19:48,Nilah
agerse,1.0,0,0,0,4-8-2022 19:48,Fizz
Twister Face,1.0,0,0,0,4-8-2022 19:48,Rengar
SEB974,1.0,0,0,0,4-8-2022 19:48,Garen
RageHaxor,1.0,0,0,0,4-8-2022 19:48,RekSai
LTU coolas7,1.0,0,0,0,4-8-2022 19:48,Shaco
ImRyzeingUp,1.0,0,0,0,4-8-2022 19:48,TahmKench
GeilerJoachim88,1.0,0,0,0,4-8-2022 19:48,Leona
BlueShadowXD,1.0,0,0,0,4-8-2022 19:48,Mordekaiser
Κ T,0.0,0,1,0,4-8-2022 19:48,Pyke
Špoder,0.0,0,1,0,4-8-2022 19:48,LeeSin
xSWAGx,0.0,0,1,0,4-8-2022 19:48,Blitzcrank
sLicK6,0.0,0,1,1,4-8-2022 19:48,Yasuo
oochaozzoo,0.0,0,1,1,4-8-2022 19:48,Diana
matame11,0.0,0,1,0,4-8-2022 19:48,MissFortune
llEXOll,0.0,0,1,0,4-8-2022 19:48,Draven
altReign,0.0,0,1,0,4-8-2022 19:47,Chogath
Zêd X Smurff ,0.0,0,1,0,4-8-2022 19:47,Vi
Whaale,0.0,0,1,0,4-8-2022 19:47,Riven
SpectralRo,0.0,0,1,0,4-8-2022 19:48,Taliyah
Schtuev,0.0,0,1,1,4-8-2022 19:48,Lulu
Neco de peco,0.0,0,1,0,4-8-2022 19:47,Zed
Mute Loli,0.0,0,1,1,4-8-2022 19:48,Diana
MultiVItamin6969,0.0,0,1,0,4-8-2022 19:48,Kled
MrMoutarde,0.0,0,1,1,4-8-2022 19:48,Ekko
MagiccDragonn,0.0,0,1,1,4-8-2022 19:48,Kaisa
MTV ChiHanChu,0.0,0,1,1,4-8-2022 19:48,Yone
Lakemountain,0.0,0,1,0,4-8-2022 19:47,Swain
LILFREDO,0.0,0,1,0,4-8-2022 19:48,Teemo
Kraftkanzler,0.0,0,1,0,4-8-2022 19:47,Diana
KnüppelImSack,0.0,0,1,0,4-8-2022 19:47,Ekko
Knoblauchkröte,0.0,0,1,0,4-8-2022 19:47,Karma
KnToSh,0.0,0,1,0,4-8-2022 19:48,Graves
Kernlose Traube,0.0,0,1,1,4-8-2022 19:48,Swain
Hayce213,0.0,0,1,0,4-8-2022 19:48,Zac
G9Dave,0.0,0,1,0,4-8-2022 19:48,Fizz
FNC Pśÿçhøpãthº,0.0,0,1,0,4-8-2022 19:48,Volibear
Duracraft,0.0,0,1,1,4-8-2022 19:48,Vayne
Don Tchoupos,0.0,0,1,0,4-8-2022 19:48,MonkeyKing
Deathsworn Vlad,0.0,0,1,1,4-8-2022 19:48,Kaisa
DC5 bigschow,0.0,0,1,1,4-8-2022 19:48,Sion
Cyberdark21,0.0,0,1,1,4-8-2022 19:48,Shaco
Axelthepunkt,0.0,0,1,1,4-8-2022 19:48,Talon
